Sports,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
Aquatics,16,16,18,20,23,34,34,31,31,36,38,38,38,44,44,46,46,46,49,49
Basketball,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4
Canoeing,9,9,9,7,7,7,11,11,11,12,12,16,16,16,16,16,16,16,16,16
Cycling,6,6,6,6,7,7,7,6,6,8,9,10,14,18,18,18,18,18,22,22
Gymnastics,9,15,15,14,14,14,14,14,14,15,15,15,16,18,18,18,18,18,18,18
Vollyball,0,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4
Equestrian,6,6,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Wrestling,16,16,16,16,16,16,20,20,20,20,20,20,20,16,18,18,18,18,18,18
Archery,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,5,5
Athletics,33,33,33,34,36,36,38,37,38,41,42,43,44,46,46,47,47,47,48,48
Badminton,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,5,5
Boxing,8,10,10,10,10,11,11,11,11,12,12,12,12,12,11,11,13,13,13,13
Breaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fencing,7,7,7,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,12,12
Field hockey,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Football,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Golf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Handball,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Judo,0,0,0,0,4,0,6,6,8,8,7,14,14,14,14,14,14,14,15,15
Modern Pentathlon,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
Rowing,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14
Rugby Sevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Sailing,5,5,5,5,5,5,6,6,6,7,8,10,10,11,11,11,10,10,10,10
Shooting,4,7,7,6,6,7,8,7,7,11,13,13,15,17,17,15,15,15,15,15
Skateboarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Sport Climbing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
Surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Table Tennis,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,5,5
Taekwondo,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
Tennis,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,5,5,5,5
Triathlon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3
Weightlifting,6,7,7,7,7,7,9,9,10,10,10,10,10,15,15,15,15,15,14,10
