Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
Graeme Thomas Brewer,M,21,192,96,Australia,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Grant Tyson Brits,M,20,188,80,Australia,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Leith Brodie,M,22,187,84,Australia,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Leith Brodie,M,22,187,84,Australia,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Michelle Kathleen Brogan-Griffiths,F,23,186,80,Australia,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze
"Sandra Anne ""Sandy"" Brondello",F,27,170,62,Australia,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze
Neil Brooks,M,22,198,96,Australia,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Travis Neil Brooks,M,28,186,79,Australia,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
"Gregory John ""Greg"" Brough",M,17,187,79,Australia,1968,Summer,Mexico City,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Ian Warwick Brown,M,22,184,70,Australia,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,Bronze
"Joanne ""Jo"" Brown (-Alchin)",F,24,174,72,Australia,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
"Joanne ""Jo"" Brown (-Alchin)",F,28,174,72,Australia,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
Kiel Brown,M,24,172,72,Australia,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
Victoria Brown,F,26,183,76,Australia,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze
Walter William Brown,M,31,,,Australia,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
Glenn Robert Buchanan,M,21,180,77,Australia,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,Bronze
Glenn Robert Buchanan,M,21,180,77,Australia,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Nathan Burgers,M,33,185,82,Australia,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Christopher Burton,M,34,180,70,Australia,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Matthew Butturini,M,24,181,81,Australia,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Christopher Cairns,M,27,177,68,Australia,1984,Summer,Los Angeles,Sailing,Sailing Mixed Multihull,Bronze
Ashley John Callus,M,29,188,85,Australia,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Elizabeth Folake ""Liz"" Cambage",F,20,203,98,Australia,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
Cate Natalie Campbell,F,16,186,67,Australia,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,Bronze
Cate Natalie Campbell,F,16,186,67,Australia,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Alisa Peta Camplin (-Warner),F,31,157,49,Australia,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze
Joel Carroll,M,25,184,89,Australia,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Stuart Cameron Carruthers,M,26,176,75,Australia,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
"Philip Arthur ""Phil"" Cayzer",M,30,,,Australia,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Bronze
Kyle Chalmers,M,18,193,90,Australia,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Kyle Chalmers,M,18,193,90,Australia,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Michelle Louise Chandler (-Cleary),F,22,165,63,Australia,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze
Ernest William Chapman,M,26,,,Australia,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Bronze
Gary Arthur Chapman,M,19,,,Australia,1956,Summer,Melbourne,Swimming,Swimming Men's 100 metres Freestyle,Bronze
"Susan Claire ""Sue"" Chapman (-Popa)",F,21,177,75,Australia,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze
"Andrew Murray ""Boy"" Charlton",M,16,183,,Australia,1924,Summer,Paris,Swimming,Swimming Men's 400 metres Freestyle,Bronze
"Thomas Edmund Malcolm ""Tom"" Chessell",M,38,,,Australia,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Bronze
Baeden Ty Choppy,M,20,,,Australia,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
"Christopher ""Chris"" Ciriello",M,26,182,83,Australia,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
"Ronald William ""Ron"" Clarke",M,27,183,72,Australia,1964,Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",Bronze
Brien William Baxter Cobcroft,M,34,177,72,Australia,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
"Daniel James ""Danny"" Collins",M,25,190,100,Australia,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Adam David Commens,M,24,166,74,Australia,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
Allison Petra Cook-Tranquilli,F,23,178,69,Australia,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze
Kim Cooper (-Maguire),F,30,170,66,Australia,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
Daniela Costian,F,27,182,84,Australia,1992,Summer,Barcelona,Athletics,Athletics Women's Discus Throw,Bronze
Alicia Jayne Coutts,F,24,176,69,Australia,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,Bronze
"Annemarie Josefina ""Anna"" Cox-Wood",F,29,171,64,Australia,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
Kylie Cronk,F,24,169,58,Australia,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze
Mervyn Richard Crossman,M,29,175,84,Australia,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze
"Kimberley ""Kim"" Crow-Brennan",F,26,188,74,Australia,2012,Summer,London,Rowing,Rowing Women's Single Sculls,Bronze
Carolyn Crudgington,F,27,168,67,Australia,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
"Timothy John ""Tim"" Cuddihy",M,17,184,84,Australia,2004,Summer,Athina,Archery,Archery Men's Individual,Bronze
Nikita Cuffe,F,28,179,73,Australia,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze
Robert Stephen Cusack,M,17,171,70,Australia,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Judith Joy ""Judy-Joy"" Davies",F,20,,,Australia,1948,Summer,London,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Stephen John Davies,M,27,174,77,Australia,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
Stephen John Davies,M,31,174,77,Australia,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
Hannah Davis,F,22,167,70,Australia,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Liam Andrew De Young,M,26,179,75,Australia,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
Liam Andrew De Young,M,30,179,75,Australia,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Nathan Douglas Deakes,M,26,183,66,Australia,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Paul Robert Dearing,M,22,175,79,Australia,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze
Timothy Deavin,M,27,185,77,Australia,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Patricia Dench,F,52,163,65,Australia,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
Erin Densham,F,27,165,52,Australia,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,Bronze
John Thomas Devitt,M,23,185,85,Australia,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Steven Dennis Dewick,M,20,178,82,Australia,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
David Gavin Dickson,M,19,179,76,Australia,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
David Gavin Dickson,M,23,179,76,Australia,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
