Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
Boena Dobeov (-Kalov),F,21,,,Czechoslovakia,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Silver
Josef Doleal,M,31,173,67,Czechoslovakia,1952,Summer,Helsinki,Athletics,Athletics Men's 50 kilometres Walk,Silver
Jaroslav Drobn,M,26,,,Czechoslovakia,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Milena Duchkov (-Neveklovsk),F,20,162,67,Czechoslovakia,1972,Summer,Munich,Diving,Diving Women's Platform,Silver
Miroslav Dvok,M,24,178,89,Czechoslovakia,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Vladimr Dzurilla,M,25,178,86,Czechoslovakia,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Bohuslav Ebermann,M,27,183,82,Czechoslovakia,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Josef Effenberger,M,26,,,Czechoslovakia,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Silver
Ladislav Falta,M,36,179,90,Czechoslovakia,1972,Summer,Munich,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Silver
Anders Peter Andersen,M,26,,70,Denmark,1908,Summer,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Anne Dsane Andersen,F,23,183,86,Denmark,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,Bronze
Axel Sigurd Andersen,M,20,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
Hjalmart Nrregaard Andersen (-Eering),M,22,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
Niels Andersen,M,44,,,Denmark,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
Viktor Axelsen,M,22,194,88,Denmark,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,Bronze
Jesper Bank,M,31,184,100,Denmark,1988,Summer,Seoul,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Jacob Jepsen Barse,M,23,188,73,Denmark,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Robert Sophus Daniel Behrens,M,21,,,Denmark,1906,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Halvor Birch,M,27,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
Verner Blaudzun,M,30,173,68,Denmark,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
Pernille Blume,F,22,170,58,Denmark,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Jens Bojsen-Mller,M,26,,,Denmark,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Jrgen Bojsen-Mller,M,38,175,71,Denmark,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Niels Erling Emmanuel Brene,M,51,,,Denmark,1948,Summer,London,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Bronze
Lily Marie Louise Carlstedt-Kelsby,F,22,,,Denmark,1948,Summer,London,Athletics,Athletics Women's Javelin Throw,Bronze
Harald Christensen,M,25,173,,Denmark,1932,Summer,Los Angeles,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Erik Christiansen,M,27,198,89,Denmark,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Bronze
Peter Fich Christiansen,M,27,182,78,Denmark,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,Bronze
Birte Christoffersen-Hanson (-Ekberg),F,24,162,56,Denmark,1948,Summer,London,Diving,Diving Women's Platform,Bronze
Eskild Balschmidt Ebbesen,M,28,185,75,Denmark,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Eskild Balschmidt Ebbesen,M,40,185,75,Denmark,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Thomas Ebert,M,27,184,72,Denmark,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Hanne Mandsfeldt Eriksen,F,23,170,67,Denmark,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
Johannes Thorvald Eriksen,M,30,,,Denmark,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Victor Alexander Feddersen,M,32,179,71,Denmark,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Georg Albert Christian Albertsen,M,30,,,Denmark,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Aage Jrgen Christian Andersen,M,22,,,Denmark,1906,Summer,Athina,Football,Football Men's Football,Gold
Anja Jul Andersen,F,27,178,,Denmark,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
Camilla Rseler Andersen,F,23,169,65,Denmark,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
Camilla Rseler Andersen,F,27,169,65,Denmark,2000,Summer,Sydney,Handball,Handball Women's Handball,Gold
Carl Rudolf Svend Andersen,M,20,,,Denmark,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Carl-Ebbe Andersen,M,19,,,Denmark,1948,Summer,London,Rowing,Rowing Men's Coxed Pairs,Gold
"Greta Marie Andersen (-Sonnichsen, -Veress)",F,21,,,Denmark,1948,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,Gold
Kristine Andersen,F,28,172,72,Denmark,2004,Summer,Athina,Handball,Handball Women's Handball,Gold
Mads Christian Kruse Andersen,M,30,187,75,Denmark,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Vigo Carl Andersen,M,21,,,Denmark,1906,Summer,Athina,Football,Football Men's Football,Gold
Gunnar Henry Asmussen,M,24,184,72,Denmark,1968,Summer,Mexico City,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Heidi Astrup,F,24,,,Denmark,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
"Voldimars ""Valdemar"" Bandolowski",M,30,184,82,Denmark,1976,Summer,Montreal,Sailing,Sailing Mixed Three Person Keelboat,Gold
"Voldimars ""Valdemar"" Bandolowski",M,34,184,82,Denmark,1980,Summer,Moskva,Sailing,Sailing Mixed Three Person Keelboat,Gold
Jesper Bank,M,35,184,100,Denmark,1992,Summer,Barcelona,Sailing,Sailing Mixed Three Person Keelboat,Gold
Jesper Bank,M,43,184,100,Denmark,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,Gold
Henrik Blakskjr,M,29,194,90,Denmark,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,Gold
Pernille Blume,F,22,170,58,Denmark,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,Gold
Jrgen Bojsen-Mller,M,34,175,71,Denmark,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Tina Nielsen Bttzau (-Haunstrup),F,24,174,70,Denmark,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
Tina Nielsen Bttzau (-Haunstrup),F,29,174,70,Denmark,2000,Summer,Sydney,Handball,Handball Women's Handball,Gold
Karen Brdsgaard,F,22,178,71,Denmark,2000,Summer,Sydney,Handball,Handball Women's Handball,Gold
Karen Brdsgaard,F,26,178,71,Denmark,2004,Summer,Athina,Handball,Handball Women's Handball,Gold
Charles von Buchwald,M,25,,,Denmark,1906,Summer,Athina,Football,Football Men's Football,Gold
Anja Byrial Hansen (-Pedersen),F,22,,,Denmark,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
Mads Christiansen,M,30,197,93,Denmark,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Gold
Anna Stefanie Nanny Fryland Clausen (-Fryland),F,20,,,Denmark,1920,Summer,Antwerpen,Diving,Diving Women's Plain High,Gold
Line Daugaard (-Widt Fruensgaard),F,26,174,65,Denmark,2004,Summer,Athina,Handball,Handball Women's Handball,Gold
Viggo Valdemar Dibbern,M,19,,,Denmark,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Eskild Balschmidt Ebbesen,M,24,185,75,Denmark,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Eskild Balschmidt Ebbesen,M,32,185,75,Denmark,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Eskild Balschmidt Ebbesen,M,36,185,75,Denmark,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Thomas Ebert,M,31,184,72,Denmark,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Thomas Ebert,M,35,184,72,Denmark,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Paul Bert Elvstrm,M,20,182,85,Denmark,1948,Summer,London,Sailing,Sailing Mixed One Person Dinghy,Gold
Paul Bert Elvstrm,M,24,182,85,Denmark,1952,Summer,Helsinki,Sailing,Sailing Mixed One Person Dinghy,Gold
Paul Bert Elvstrm,M,28,182,85,Denmark,1956,Summer,Melbourne,Sailing,Sailing Mixed One Person Dinghy,Gold
Paul Bert Elvstrm,M,32,182,85,Denmark,1960,Summer,Roma,Sailing,Sailing Mixed One Person Dinghy,Gold
Victor Alexander Feddersen,M,28,179,71,Denmark,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Parmo Karl Ferslev,M,23,,,Denmark,1906,Summer,Athina,Football,Football Men's Football,Gold
Carl Andersen,M,27,,,Denmark,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver
Johan Frederik Kobberup Andersen,M,28,,,Denmark,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
"Greta Marie Andersen (-Sonnichsen, -Veress)",F,21,,,Denmark,1948,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Peter Marius Andersen,M,23,,,Denmark,1908,Summer,London,Football,Football Men's Football,Silver
Peter Villemoes Andersen,M,28,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
"Paul Kuhlman ""Poul"" Andersen",M,30,173,73,Denmark,1960,Summer,Roma,Football,Football Men's Football,Silver
Eva Johanne Arndt-Riise,F,28,,,Denmark,1948,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Jacob Jepsen Barse,M,27,188,73,Denmark,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Paul Ludvig Laurits Berth,M,22,,,Denmark,1912,Summer,Stockholm,Football,Football Men's Football,Silver
Jane Bidstrup,F,42,171,72,Denmark,1998,Winter,Nagano,Curling,Curling Women's Curling,Silver
Aage Birch,M,42,172,70,Denmark,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,Silver
Halvor Birch,M,21,,,Denmark,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver
Johannes Birk,M,26,,,Denmark,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Hans Adolf Bjerrum (-Bierrum),M,20,,,Denmark,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Silver
Ejvind Mollerup Blach,M,24,,,Denmark,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Silver
Niels Svend Blach,M,26,,,Denmark,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Silver
Mathias Boe,M,32,185,75,Denmark,2012,Summer,London,Badminton,Badminton Men's Doubles,Silver
Harald August Bohr,M,21,,,Denmark,1908,Summer,London,Football,Football Men's Football,Silver
Aksel Bonde Hansen (Bonde-),M,30,,,Denmark,1948,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver
Valdemar Jensen Bggild,M,28,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Charles von Buchwald,M,27,,,Denmark,1908,Summer,London,Football,Football Men's Football,Silver
Charles von Buchwald,M,31,,,Denmark,1912,Summer,Stockholm,Football,Football Men's Football,Silver
Peder Harald Pedersen Bukdahl,M,22,,,Denmark,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver
Carl Christian Peder Carlsen,M,25,,,Denmark,1906,Summer,Athina,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
Fritze Wulff Carstensen (Nathansen-),F,23,,,Denmark,1948,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Thora Gerda Sofie Castenschiold (-Carlheim-Gyllenskld),F,30,,,Denmark,1912,Summer,Stockholm,Tennis,"Tennis Women's Singles, Covered Courts",Silver
Michael Frk Christensen,M,22,186,76,Denmark,2008,Summer,Beijing,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Sren Peter Christensen,M,27,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Hjalmar Johan Christoffersen,M,22,,,Denmark,1912,Summer,Stockholm,Football,Football Men's Football,Silver
Hans Peter Ludvig Dam,M,24,,,Denmark,1908,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,Silver
John Danielsen,M,21,180,74,Denmark,1960,Summer,Roma,Football,Football Men's Football,Silver
Ludwig Drescher,M,26,,,Denmark,1908,Summer,London,Football,Football Men's Football,Silver
Peter Due,M,32,176,75,Denmark,1980,Summer,Moskva,Sailing,Sailing Mixed Multihull,Silver
Steen Due,M,22,,,Denmark,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Silver
Jakob Thorvald Eigenbrod,M,27,,,Denmark,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Silver
Henning Lynggaard Enoksen,M,24,178,70,Denmark,1960,Summer,Roma,Football,Football Men's Football,Silver
Fie Udby Erichsen,F,27,184,79,Denmark,2012,Summer,London,Rowing,Rowing Women's Single Sculls,Silver
Ingvald Eriksen,M,27,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Eli Frands Johannes Faber,M,22,,,Denmark,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Silver
George Falcke,M,21,,,Denmark,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Jens Dyrlv Eriksen,M,34,191,83,Denmark,2004,Summer,Athina,Badminton,Badminton Mixed Doubles,Bronze
Edgar Lindenau Aabye,M,34,,,Denmark/Sweden,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Charles Beachey Beachcroft (Kay-),M,,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
Arthur Ernest Burrington Birkett,M,24,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
Alfred James Bowerman,M,26,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
George John Buckley,M,24,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
Francis Romulus Burchell,M,26,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
Frederick William Christian,M,32,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
Harry Richard Corner,M,25,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
Frederick William Cuming,M,24,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
William Stephens Donne,M,24,,,Devon and Somerset Wanderers,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
Flix Manuel Daz Guzmn,M,24,165,66,Dominican Republic,2008,Summer,Beijing,Boxing,Boxing Men's Light-Welterweight,Gold
Charles William Henry Crichton,M,35,,,Dominican Republic,1908,Summer,London,Sailing,Sailing Mixed 6 metres,Gold
Sylvia Albrecht (-Heckendorf),F,17,165,57,East Germany,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze
Ingrid Auerswald-Lange (Brestrich-),F,22,168,58,East Germany,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,Bronze
Herbert Bauch,M,23,182,81,East Germany,1980,Summer,Moskva,Boxing,Boxing Men's Light-Heavyweight,Bronze
Maritta Bauerschmidt (-Grieig),F,18,158,43,East Germany,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Frank Baumgartl,M,21,176,61,East Germany,1976,Summer,Montreal,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Sabine Becker,F,20,173,59,East Germany,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
Manfred Beer,M,22,175,67,East Germany,1976,Winter,Innsbruck,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
Anke Behmer (Vater-),F,27,174,62,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,Bronze
Holger Behrendt,M,24,161,60,East Germany,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
Gnter Beier,M,26,167,61,East Germany,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Dieter Below,M,34,183,82,East Germany,1976,Summer,Montreal,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Jrgen Bertow,M,26,184,79,East Germany,1976,Summer,Montreal,Rowing,Rowing Men's Double Sculls,Bronze
Udo Beyer,M,24,195,135,East Germany,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,Bronze
Frank-Peter Bischof,M,21,183,81,East Germany,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Hans-Jrg Bliesener,M,22,185,89,East Germany,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Kay Bluhm,M,19,191,86,East Germany,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Steffen Bogs,M,22,189,89,East Germany,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Bronze
Joachim Bhmer,M,31,182,82,East Germany,1972,Summer,Munich,Rowing,Rowing Men's Double Sculls,Bronze
Gerd Bonk,M,21,187,146.5,East Germany,1972,Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Klaus-Michael Bonsack,M,26,183,84,East Germany,1968,Winter,Grenoble,Luge,Luge Men's Singles,Bronze
Paul Borowski,M,31,172,83,East Germany,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Hans-Joachim Borzym,M,24,188,92,East Germany,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Bronze
Bernd Bransch,M,27,180,76,East Germany,1972,Summer,Munich,Football,Football Men's Football,Bronze
Torsten Brcht (Oehmigen-),M,24,178,78,East Germany,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,Bronze
Matthias Brehme,M,25,169,63,East Germany,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Matthias Brehme,M,29,169,63,East Germany,1972,Summer,Munich,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Christina Brehmer-Lathan,F,22,169,57,East Germany,1980,Summer,Moskva,Athletics,Athletics Women's 400 metres,Bronze
Grit Breuer (-Springstein),F,16,168,63,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Hartmut Briesenick,M,23,191,116,East Germany,1972,Summer,Munich,Athletics,Athletics Men's Shot Put,Bronze
Peter Bruch,M,16,177,65,East Germany,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Roland Brckner,M,20,172,65,East Germany,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Roland Brckner,M,24,172,65,East Germany,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Roland Brckner,M,24,172,65,East Germany,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Michael Buchheim,M,22,176,74,East Germany,1972,Summer,Munich,Shooting,Shooting Mixed Skeet,Bronze
Sabine Busch (-Ascui),F,25,177,66,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Jrgen Croy,M,25,186,85,East Germany,1972,Summer,Munich,Football,Football Men's Football,Bronze
Kurt Czekalla,M,38,182,89,East Germany,1968,Summer,Mexico City,Shooting,Shooting Mixed Trap,Bronze
Heike Dhne (-Mller),F,18,172,67,East Germany,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Jrg Damme,M,21,190,104,East Germany,1980,Summer,Moskva,Shooting,Shooting Mixed Trap,Bronze
Uwe Daler,M,21,193,87,East Germany,1988,Summer,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Monika Debertshuser (-Heler),F,23,165,55,East Germany,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
Ines Diers (-Noack),F,16,175,64,East Germany,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,Bronze
Gerhard Dietrich,M,26,163,50,East Germany,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Harold Dimke,M,22,197,87,East Germany,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Bronze
Bernd Dittert,M,27,186,86,East Germany,1988,Summer,Seoul,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
Carola Dombeck,F,16,159,44,East Germany,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Juana Katrin Drre-Heinig,F,26,170,57,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's Marathon,Bronze
Heike Gabriela Drechsler (Daute-),F,23,181,68,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,Bronze
Heike Gabriela Drechsler (Daute-),F,23,181,68,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,Bronze
Joachim Dreifke,M,23,192,95,East Germany,1976,Summer,Montreal,Rowing,Rowing Men's Single Sculls,Bronze
Margitta Droese-Pufe (Ludewig-),F,27,180,83,East Germany,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,Bronze
Peter Ducke,M,30,177,72,East Germany,1972,Summer,Munich,Football,Football Men's Football,Bronze
Bernd Duvigneau,M,20,183,88,East Germany,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Andrea Ehrig-Schne-Mitscherlich,F,27,165,58,East Germany,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
Kirsten Emmelmann (Siemon-),F,27,173,63,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Olaf Engelhardt,M,25,188,95,East Germany,1976,Summer,Montreal,Sailing,Sailing Mixed Three Person Keelboat,Bronze
"Karin Enke-Kania (-Busch-, -Richter)",F,26,180,72,East Germany,1988,Winter,Calgary,Speed Skating,Speed Skating Women's 500 metres,Bronze
"Christine Errath (-Trettin, -Stber)",F,19,158,50,East Germany,1976,Winter,Innsbruck,Figure Skating,Figure Skating Women's Singles,Bronze
"Gitta Escher (-Sommer, -Wagenknecht)",F,19,163,48,East Germany,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Bronze
"Gabriele ""Gabi"" Fhnrich",F,20,155,46,East Germany,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Jrgen Fanghnel,M,28,187,90,East Germany,1980,Summer,Moskva,Boxing,Boxing Men's Heavyweight,Bronze
Ellen Fiedler (Neumann-),F,29,174,66,East Germany,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,Bronze
Wolfram Fiedler,M,20,177,82,East Germany,1972,Winter,Sapporo,Luge,Luge Men's Singles,Bronze
Brigitte Ahrenholz,F,23,178,85,East Germany,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
Uwe Ampler,M,24,182,77,East Germany,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Carola Anding (-Jacob),F,19,168,53,East Germany,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Hannelore Anke (-Hofmann),F,18,160,52,East Germany,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,Gold
Hannelore Anke (-Hofmann),F,18,160,52,East Germany,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Hans-Georg Aschenbach,M,24,175,69,East Germany,1976,Winter,Innsbruck,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
Ingrid Auerswald-Lange (Brestrich-),F,22,168,58,East Germany,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Jochen Bachfeld,M,23,172,54,East Germany,1976,Summer,Montreal,Boxing,Boxing Men's Welterweight,Gold
Angelika Bahmann,F,20,165,69,East Germany,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
Ramona Balthasar,F,24,177,71,East Germany,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,Gold
Bernd Baumgart,M,21,190,84,East Germany,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Gold
Volker Beck,M,24,191,82,East Germany,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,Gold
Holger Behrendt,M,24,161,60,East Germany,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,Gold
Jutta Behrendt (Hampe-),F,27,181,75,East Germany,1988,Summer,Seoul,Rowing,Rowing Women's Single Sculls,Gold
Hans-Georg Beyer,M,23,189,96,East Germany,1980,Summer,Moskva,Handball,Handball Men's Handball,Gold
Udo Beyer,M,20,195,135,East Germany,1976,Summer,Montreal,Athletics,Athletics Men's Shot Put,Gold
Martina Bischof (Fischer-),F,22,174,65,East Germany,1980,Summer,Moskva,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Carla Bodendorf (Rietig-),F,22,164,58,East Germany,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
"Martina Boesler (-Kirchner, -Wieduwilt)",F,23,175,70,East Germany,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Gold
Anke Borchmann (Grnberg-),F,22,176,65,East Germany,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
Heinz-Jrgen Bothe,M,26,195,91,East Germany,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,Gold
Bernd Bransch,M,31,180,76,East Germany,1976,Summer,Montreal,Football,Football Men's Football,Gold
Christina Brehmer-Lathan,F,18,169,57,East Germany,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Siegfried Brietzke,M,20,192,90,East Germany,1972,Summer,Munich,Rowing,Rowing Men's Coxless Pairs,Gold
